imdbScore,imdbRatingsCount,title,year,genre,criticScoreRT,audienceScoreRT,runtimeMins,budgetMillions,revenueMillions
90,2107241,The Dark Knight,2008,Action,94,94,152,185,1005
88,1878276,Inception,2010,Action,87,91,148,160,839
88,1712040,Fight Club,1999,Drama,79,96,139,63,101
87,1542312,The Matrix,1999,Action,88,85,136,63,465
88,1538119,The Lord of the Rings (I),2001,Adventure,91,95,178,93,888
89,1522669,The Lord of the Rings (III),2003,Adventure,93,86,201,94,1142
84,1410720,The Dark Knight Rises,2012,Action,87,90,165,300,1081
87,1377258,The Lord of the Rings (II),2002,Adventure,95,95,179,94,951
86,1334463,Interstellar,2014,Adventure,72,86,169,165,702
85,1236220,Gladiator,2000,Action,77,87,155,103,461
82,1215408,Batman Begins,2005,Action,84,94,140,150,374
80,1201664,The Avengers,2012,Action,91,91,143,220,1519
83,1152875,Inglourious Basterds,2009,Adventure,89,88,153,70,322
86,1134916,Saving Private Ryan,1998,Drama,93,95,169,70,482
85,1096191,The Departed,2006,Crime,91,94,151,90,292
85,1086947,The Prestige,2006,Drama,76,92,130,40,110
78,1060867,Avatar,2009,Action,82,82,162,237,2790
82,1060669,The Wolf of Wall Street,2013,Drama,80,83,180,100,392
84,1046616,Memento,2000,Mystery,93,94,113,5,40
86,1040697,The Green Mile,1999,Crime,78,94,189,60,287
81,1028126,Shutter Island,2010,Mystery,68,76,139,80,295
83,1003942,American Beauty,1999,Drama,87,93,122,15,356
78,974673,Titanic,1997,Drama,89,69,195,200,2195
80,974464,Pirates of the Caribbean (I),2003,Action,79,86,143,140,654
80,973587,Guardians of the Galaxy,2014,Action,91,92,122,232,773
85,967115,American History X,1998,Drama,83,96,119,20,24
82,965499,V for Vendetta,2005,Action,73,90,132,54,133
85,957878,Back to the Future,1985,Adventure,96,94,116,19,389
81,926185,Kill Bill (I),2003,Action,85,91,111,30,181
84,924675,WALL-E,2008,Adventure,95,90,97,180,521